city,expectedField,rank,source,timeNode,unit,n,top1Hits,top1Accuracy,top2Hits,top2Accuracy,tradableBestWindow,tradeCutoffReason,ruleType,ruleValue,ruleLabel,configName,configLabel,weatherStrategy,weatherMode,residualMode,strategyLabel,conditionUseRate,averageResidualN,minResidualN,conditionMinResidualN,previousHalfN,previousHalfTop2Hits,previousHalfTop2Accuracy,previousHalfStartDate,previousHalfEndDate,recentHalfN,recentHalfTop2Hits,recentHalfTop2Accuracy,recentHalfStartDate,recentHalfEndDate,recentHalfTop2Delta,recent10DayN,recent10DayTop2Hits,recent10DayTop2Accuracy,recent10DayStartDate,recent10DayEndDate
singa,singa预计,1,cityModelOptimization,10点到11点,,126,72,57.14,110,87.3,true,,all,all,全窗口,grid_30old70down_q25_no_temp_no_weather,grid 30old70 down q25 no weather,baseline,none,,,,,,,63,51,80.95,2026-05-04,2026-07-13,63,55,87.3,2026-07-14,2026-09-14,6.35,10,8,80,2026-09-05,2026-09-14
singa,singa预计,2,cityModelOptimization,14点到15点,,126,68,53.97,109,86.51,true,,all,all,全窗口,grid_90old10mean_q25_no_temp_no_weather,grid 90old10 q25 no weather,baseline,none,,,,,,,63,54,85.71,2026-05-07,2026-07-12,63,59,93.65,2026-07-13,2026-09-14,7.94,10,9,90,2026-09-05,2026-09-14
singa,singa预计,3,cityModelOptimization,6点到7点,,127,63,49.61,109,85.83,true,,all,all,全窗口,old_only_no_temp_no_weather,old only no weather,baseline,none,,,,,,,63,51,80.95,2026-05-04,2026-07-10,64,57,89.06,2026-07-11,2026-09-14,8.11,10,9,90,2026-09-05,2026-09-14
ankara,ankara预计,1,cityModelOptimization,17点到18点,,135,75,55.56,112,82.96,true,,all,all,全窗口,grid_90old10mean_q33_no_temp_no_weather,grid 90old10 q33 no weather,baseline,none,,,,,,,67,57,85.07,2026-04-28,2026-07-07,68,53,77.94,2026-07-08,2026-09-14,-7.13,10,7,70,2026-09-05,2026-09-14
ankara,ankara预计,2,cityModelOptimization,6点到7点,,134,61,45.52,107,79.85,true,,all,all,全窗口,grid_90old10down_q60_no_temp_no_weather,grid 90old10 down q60 no weather,baseline,none,,,,,,,67,51,76.12,2026-04-28,2026-07-07,67,54,80.6,2026-07-08,2026-09-14,4.48,10,7,70,2026-09-05,2026-09-14
ankara,ankara预计,3,cityModelOptimization,昨22点到23点,,134,70,52.24,106,79.1,true,,all,all,全窗口,grid_80old20mean_q25_no_temp_no_weather,grid 80old20 q25 no weather,baseline,none,,,,,,,67,55,82.09,2026-04-28,2026-07-09,67,51,76.12,2026-07-10,2026-09-14,-5.97,10,7,70,2026-09-05,2026-09-14
telaviv,telaviv预计,1,cityModelOptimization,17点到18点,,136,100,73.53,131,96.32,true,,all,all,全窗口,grid_90old10down_median_no_temp_no_weather,grid 90old10 down median no weather,baseline,none,,,,,,,68,66,97.06,2026-04-28,2026-07-08,68,64,94.12,2026-07-09,2026-09-14,-2.94,10,9,90,2026-09-05,2026-09-14
telaviv,telaviv预计,2,cityModelOptimization,昨6点到7点,,125,83,66.4,118,94.4,true,,all,all,全窗口,grid_90old10down_q80_no_temp_no_weather,grid 90old10 down q80 no weather,baseline,none,,,,,,,62,58,93.55,2026-05-08,2026-07-12,63,60,95.24,2026-07-13,2026-09-14,1.69,10,9,90,2026-09-05,2026-09-14
telaviv,telaviv预计,3,cityModelOptimization,6点到7点,,134,94,70.15,126,94.03,true,,all,all,全窗口,grid_90old10down_median_no_temp_no_weather,grid 90old10 down median no weather,baseline,none,,,,,,,67,62,92.54,2026-04-28,2026-07-08,67,64,95.52,2026-07-09,2026-09-14,2.98,10,8,80,2026-09-05,2026-09-14
telaviv,telaviv预计,4,cityModelOptimization,14点到15点,,134,85,63.43,125,93.28,true,,all,all,全窗口,grid_90old10mean_q25_no_temp_no_weather,grid 90old10 q25 no weather,baseline,none,,,,,,,67,60,89.55,2026-04-28,2026-07-06,67,62,92.54,2026-07-07,2026-09-14,2.99,10,8,80,2026-09-03,2026-09-14
telaviv,telaviv预计,5,cityModelOptimization,10点到11点,,133,87,65.41,124,93.23,true,,all,all,全窗口,grid_80old20down_median_no_temp_no_weather,grid 80old20 down median no weather,baseline,none,,,,,,,66,60,90.91,2026-04-28,2026-07-09,67,63,94.03,2026-07-10,2026-09-14,3.12,10,8,80,2026-09-05,2026-09-14
telaviv,telaviv预计,6,cityModelOptimization,昨10点到11点,,129,86,66.67,120,93.02,true,,all,all,全窗口,grid_80old20down_median_no_temp_no_weather,grid 80old20 down median no weather,baseline,none,,,,,,,64,57,89.06,2026-05-02,2026-07-11,65,62,95.38,2026-07-12,2026-09-14,6.32,10,9,90,2026-09-05,2026-09-14
helsink,helsink预计,1,backtestSummary,17点到18点,C,135,72,53.3,113,83.7,true,,all,all,all,,,,,,,,,,,67,54,80.6,2026-04-28,2026-07-07,68,59,86.76,2026-07-08,2026-09-14,6.16,10,8,80,2026-09-05,2026-09-14
helsink,helsink预计,2,backtestSummary,14点到15点,C,137,60,43.8,106,77.4,true,,all,all,all,,,,,,,,,,,68,49,72.06,2026-04-28,2026-07-06,69,57,82.61,2026-07-07,2026-09-14,10.55,10,8,80,2026-09-05,2026-09-14
helsink,helsink预计,3,backtestSummary,10点到11点,C,134,56,41.8,99,73.9,true,,all,all,all,,,,,,,,,,,67,45,67.16,2026-04-28,2026-07-09,67,54,80.6,2026-07-10,2026-09-14,13.44,10,8,80,2026-09-05,2026-09-14
munich,munich预计,1,backtestSummary,17点到18点,C,133,62,46.6,107,80.5,true,,all,all,all,,,,,,,,,,,66,48,72.73,2026-04-28,2026-07-06,67,56,83.58,2026-07-07,2026-09-14,10.85,10,7,70,2026-09-05,2026-09-14
munich,munich预计,2,backtestSummary,6点到7点,C,133,64,48.1,106,79.7,true,,all,all,all,,,,,,,,,,,66,54,81.82,2026-04-28,2026-07-06,67,50,74.63,2026-07-07,2026-09-14,-7.19,10,9,90,2026-09-05,2026-09-14
munich,munich预计,3,backtestSummary,10点到11点,C,133,64,48.1,106,79.7,true,,all,all,all,,,,,,,,,,,66,53,80.3,2026-04-28,2026-07-08,67,54,80.6,2026-07-09,2026-09-14,0.3,10,9,90,2026-09-05,2026-09-14
madrid,madrid预计,1,cityModelOptimization,14点到15点,,137,85,62.04,122,89.05,true,,all,all,全窗口,80old20_no_high_no_temp_no_weather,80old20 no high no weather,baseline,none,,,,,,,68,58,85.29,2026-04-28,2026-07-06,69,63,91.3,2026-07-07,2026-09-14,6.01,10,10,100,2026-09-05,2026-09-14
madrid,madrid预计,2,cityModelOptimization,17点到18点,,136,82,60.29,121,88.97,true,,all,all,全窗口,grid_90old10down_q70_no_temp_no_weather,grid 90old10 down q70 no weather,baseline,none,,,,,,,68,56,82.35,2026-04-28,2026-07-08,68,63,92.65,2026-07-09,2026-09-14,10.3,10,10,100,2026-09-05,2026-09-14
madrid,madrid预计,3,cityModelOptimization,6点到7点,,135,84,62.22,117,86.67,true,,all,all,全窗口,80old20mean_temp_timeOnly30_no_weather,time temp 30% no weather,baseline,none,,,,,,,67,58,86.57,2026-04-28,2026-07-06,68,58,85.29,2026-07-07,2026-09-14,-1.28,10,9,90,2026-09-05,2026-09-14
madrid,madrid预计,4,cityModelOptimization,10点到11点,,133,85,63.91,114,85.71,true,,all,all,全窗口,grid_30old70mean_q25_no_temp_no_weather,grid 30old70 q25 no weather,baseline,none,,,,,,,66,55,83.33,2026-04-28,2026-07-09,67,57,85.07,2026-07-10,2026-09-14,1.74,10,9,90,2026-09-05,2026-09-14
madrid,madrid预计,5,cityModelOptimization,昨22点到23点,,132,82,62.12,113,85.61,true,,all,all,全窗口,grid_60old40mean_q40_no_temp_no_weather,grid 60old40 q40 no weather,baseline,none,,,,,,,66,53,80.3,2026-04-28,2026-07-10,66,58,87.88,2026-07-11,2026-09-14,7.58,10,9,90,2026-09-05,2026-09-14
madrid,madrid预计,6,cityModelOptimization,昨17点到18点,,134,74,55.22,114,85.07,true,,all,all,全窗口,current_80old20mean_temp_current_no_weather,current no weather,baseline,none,,,,,,,67,53,79.1,2026-04-29,2026-07-09,67,59,88.06,2026-07-10,2026-09-14,8.96,10,9,90,2026-09-05,2026-09-14
miami,miami预计,1,cityModelOptimization,22点到23点,,122,69,56.56,104,85.25,true,,all,all,全窗口,grid_20old80mean_q25_no_temp_no_weather,grid 20old80 q25 no weather,baseline,none,,,,,,,61,51,83.61,2026-05-09,2026-07-15,61,51,83.61,2026-07-16,2026-09-14,0,10,7,70,2026-09-05,2026-09-14
miami,miami预计,2,cityModelOptimization,昨17点到18点,,121,65,53.72,101,83.47,true,,all,all,全窗口,no_temp_80old20mean_no_weather,80old20mean no temp no weather,baseline,none,,,,,,,60,49,81.67,2026-05-10,2026-07-15,61,50,81.97,2026-07-16,2026-09-14,0.3,10,8,80,2026-09-05,2026-09-14
miami,miami预计,3,cityModelOptimization,6点到7点,,120,64,53.33,100,83.33,true,,all,all,全窗口,current_90old10mean_no_temp_no_weather,90old10mean no weather,baseline,none,,,,,,,60,50,83.33,2026-05-10,2026-07-14,60,50,83.33,2026-07-15,2026-09-14,0,10,8,80,2026-09-05,2026-09-14
KualaLumpur,KualaLumpur预计,1,cityModelOptimization,14点到15点,,85,46,54.12,74,87.06,true,,all,all,全窗口,grid_80old20mean_median_no_temp_no_weather,grid 80old20 median no weather,baseline,none,,,,,,,42,37,88.1,2026-05-31,2026-07-14,43,35,81.4,2026-07-15,2026-08-27,-6.7,10,4,40,2026-08-17,2026-08-27
KualaLumpur,KualaLumpur预计,2,cityModelOptimization,昨22点到23点,,82,34,41.46,65,79.27,true,,all,all,全窗口,grid_60old40down_median_no_temp_no_weather,grid 60old40 down median no weather,baseline,none,,,,,,,41,34,82.93,2026-05-31,2026-07-17,41,29,70.73,2026-07-18,2026-08-27,-12.2,10,7,70,2026-08-18,2026-08-27
KualaLumpur,KualaLumpur预计,3,cityModelOptimization,10点到11点,,83,42,50.6,63,75.9,true,,all,all,全窗口,grid_40old60down_median_no_temp_no_weather,grid 40old60 down median no weather,baseline,none,,,,,,,41,32,78.05,2026-05-31,2026-07-16,42,29,69.05,2026-07-17,2026-08-27,-9,10,7,70,2026-08-18,2026-08-27
